hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults
Resort Hotel - Chandigarh,0,342,2024,July,30,27,0,0,2
Resort Hotel - Mumbai,0,737,2024,April,17,28,0,0,2
Resort Hotel - Delhi,0,7,2024,September,37,10,0,1,1
Resort Hotel - Kolkata,0,13,2024,August,33,14,0,1,1
Resort Hotel - Lucknow,0,14,2024,September,37,14,0,2,2
Resort Hotel - Delhi,0,14,2024,October,43,23,0,2,2
Resort Hotel - Indore,0,0,2024,January,1,7,0,2,2
Resort Hotel - Ahmedabad,0,9,2024,August,32,8,0,2,2
Resort Hotel - Delhi,1,85,2024,August,34,25,0,3,2
Resort Hotel - Pune,1,75,2024,December,51,18,0,3,2
Resort Hotel - Chennai,1,23,2024,August,34,24,0,4,2
Resort Hotel - Chennai,0,35,2024,March,13,27,0,4,2
Resort Hotel - Bhopal,0,68,2024,March,9,2,0,4,2
Resort Hotel - Lucknow,0,18,2024,June,23,9,0,4,2
Resort Hotel - Hyderabad,0,37,2024,June,24,15,0,4,2
Resort Hotel - Mumbai,0,68,2024,June,26,24,0,4,2
Resort Hotel - Kochi,0,37,2024,January,3,18,0,4,2
Resort Hotel - Chennai,0,12,2024,December,51,17,0,1,2
Resort Hotel - Mumbai,0,0,2024,April,16,17,0,1,2
Resort Hotel - Delhi,0,7,2024,November,46,11,0,4,2
Resort Hotel - Pune,0,37,2024,November,47,23,1,4,1
Resort Hotel - Bangalore,0,72,2024,January,2,13,2,4,2
Resort Hotel - Bhopal,0,72,2024,July,27,4,2,4,2
Resort Hotel - Chennai,0,72,2024,March,12,22,2,4,2
Resort Hotel - Ahmedabad,0,127,2024,February,8,25,2,5,2
Resort Hotel - Pune,0,78,2024,July,30,24,2,5,2
Resort Hotel - Pune,0,48,2024,December,48,1,2,5,2
Resort Hotel - Chennai,1,60,2024,November,44,3,2,5,2
Resort Hotel - Kochi,0,77,2024,October,44,30,2,5,2
Resort Hotel - Chennai,0,99,2024,March,11,14,2,5,2
Resort Hotel - Kochi,0,118,2024,December,50,11,4,10,1
Resort Hotel - Kochi,0,95,2024,December,1,30,4,11,2
Resort Hotel - Delhi,1,96,2024,January,1,7,2,8,2
Resort Hotel - Kolkata,0,69,2024,May,19,10,2,4,2
Resort Hotel - Hyderabad,1,45,2024,August,32,8,1,3,3
Resort Hotel - Mumbai,1,40,2024,April,17,22,1,3,3
Resort Hotel - Mumbai,0,15,2024,February,8,21,1,3,2
Resort Hotel - Chennai,0,36,2024,February,9,28,1,3,3
Resort Hotel - Jaipur,1,43,2024,January,3,17,1,3,3
Resort Hotel - Bangalore,0,70,2024,January,3,15,2,3,2
Resort Hotel - Jaipur,1,45,2024,February,5,3,2,3,2
Resort Hotel - Pune,0,45,2024,January,4,23,2,3,2
Resort Hotel - Kochi,0,16,2024,May,19,10,2,3,2
