Atributo,RMSE_CV_mean,RMSE_CV_std,MAE_CV_mean,R2_CV_mean,R2_CV_std,Ranking_RMSE
Sleep_Hours,18.177980507439653,0.04175434170808241,14.480948430302323,0.09697629355948567,0.0025330020395607383,1
PlayTime_Hours,18.21566363673527,0.051408167776707314,14.52109879060255,0.0932288669429997,0.003187219320239296,2
Age,18.559649188395117,0.037097617191886444,14.786489914976846,0.05865846609189098,0.0019803441856520994,3
HRV_Score,18.59538346334933,0.0213575643293555,14.828983593829815,0.05502559163665364,0.0027745878379166608,4
APM,19.081141718525153,0.0302681549507528,15.202747091046614,0.005015652044595043,0.0008548878877427461,5
Energy_Drinks,19.106115232754938,0.031516671826812365,15.220683056911346,0.00240992167122569,0.00047777770486020414,6
Heart_Rate_BPM,19.119846217779443,0.0274914524474213,15.232304468452554,0.0009749094285778747,0.00040586130875684256,7
Blue_Light_Filter,19.12965112370782,0.027436419548066568,15.239136945346607,-4.990841156351511e-05,5.218708733404317e-05,8
Game_Genre,19.12974870639812,0.027438765288624784,15.239161559253663,-6.011076765810586e-05,5.0452360816073495e-05,9
Screen_Brightness,19.130049756026036,0.02681432791920577,15.239430735125001,-9.168050082570822e-05,5.7370636410485476e-05,10
